"displayname","ou","dn","whenchanged","objectguid","syncattrs_hash","dn_hash","whencreated","placeholder"
B011G00資料科(停用),B011G00,"OU=B011G00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 20:33:06,bcd38946d6e51f42a0d31995d230dc58,"01fa08d1e8822e6614869d65c3a80f23ba3263f706a5f59d9ee6edc3d07faf84",e56ebf9da0d22c5ed0b496a1f12ffeb2aebb03ac3b90ad6f3b057ca825ea9c2f,2012-02-06 15:33:28,external
B011H00法務科(停用),B011H00,"OU=B011H00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 20:33:07,af41addf0fd5ac42bd930b25349be5d3,e472257416c00843520dd3481ebcdd42d000146798d1e2c6d0b8164ff811f8fd,"89a2d3091188bc7f82780644407a26fcd06225b049b9a2c8ef1f03814e5f3b8e",2012-02-06 15:33:31,external
B011K01秘書室事務股,B011K01,"OU=B011K01,OU=B011K00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 18:46:36,fde5314cc8d429448d8eb112e8dc2cfe,e51180aaa61410634cf8c5005deee71bb9a1267e94fdc0958fe606eee3570a20,"80f352a27093ee05a7e68a7e1c6d11be0216b14f1928beaa66e411067cc91909",2012-02-06 15:33:47,external
B011I01稅政發展科稅政規劃股(停用),B011I01,"OU=B011I01,OU=B011I00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 18:46:32,"3e76b8b66f0de94a8d8fcea004ac04fc","9a1f84c96733adc86dec0ad03119465cd2307610b1d7c3b6b6da2800f863f1d0",e3278ece09c05c7d79ddc6b0b219c572b2e54a0255671d1595096014f7d9cdf6,2012-02-06 15:33:40,external
B011G02資料科蒐集整理股(停用),B011G02,"OU=B011G02,OU=B011G00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 18:46:20,"4613e7668cad8d4f93401fa463746435","7821a87e3b55966a7613df71aa5b6d63d778a66926bd597d42618b00da22e082","6270a89f2615933f9de9827bb30710abff5a2c0110369f87875b2e1264935645",2012-02-06 15:33:30,external
B011H03法務科行政救濟一股(停用),B011H03,"OU=B011H03,OU=B011H00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 18:46:28,bdddf0586746e644a663f317cf08d1a2,"2da240b5de1977a8f98475e3dd8e918c42659d921a5a96e5ee8d3c0dd37bac8f","48f38cc6b4901653d25760ecf36713b16d729eb02efea15aa464de36ad6977b8",2012-02-06 15:33:34,external
B011H06法務科違章二股(停用),B011H06,"OU=B011H06,OU=B011H00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 18:46:30,"89c7f63efa38fe41a4d49ec6d9955fb9","7c4677a510103c43e76c6cadb641aa0a4efe112bc00a81c9cea96bd4f1b736de",fd82138810f0ef9a828ff70ff55ab41b4d5c1604da8e2b21a3c32773b56f6254,2012-02-06 15:33:37,external
B011H01法務科法規管制股(停用),B011H01,"OU=B011H01,OU=B011H00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 18:46:27,e2bc76d1fa51114880799561df124cce,"0d89d260ec14fe48efefcc0a346d58f5d589ff99449e8f4682b09a9267568f6f","8777b904eeeea6573228c43c70a23858d479315fd218362d02f514d01106b91c",2012-02-06 15:33:32,external
B011I02稅政發展科稅務管考股(停用),B011I02,"OU=B011I02,OU=B011I00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 18:46:33,a302810b8a7cc04a9cb7629bce1da152,"37e930592d60eca5c220f738a37ee9109b3d0844ad87c39b94cc29f2c9741a7e","9a60c3c547a46f69e7562e4d6cc0ac23d0ec3443be37578d48485528489dd6a5",2012-02-06 15:33:41,external
B011K02秘書室出納股,B011K02,"OU=B011K02,OU=B011K00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 18:46:36,"0fed4930d6717d44bd11be7df4b4c18f","1105f32fb8a24e4c18bb62959805fd867df18df2109e69c6f980d35460799a46",aa35d616f2258bf4dabca37958515ae3f80789e845745f4513229bd5e05dab6c,2012-02-06 15:33:48,external
B011K04秘書室檔案股,B011K04,"OU=B011K04,OU=B011K00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 18:46:37,"00c22424306ab54bba5492f874faa23d","474dd1ea539b3fe500e6f42ecbdd63220248f9ba2af9f7242769315d7a2005e8","2c51440ced255e90365504ac979ba9c43c0543936c75bf10b84c8ba034e81403",2012-02-06 15:33:51,external
B011K03秘書室文書股,B011K03,"OU=B011K03,OU=B011K00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 18:46:37,e9e7fd288bb44149bf8fbaeb14366d3c,"055c675280ef37e5d6c3fe10966c81a9830a64d43ce41e541d1cb301f4c0799b","36a978dc31f56c0a73ee3da8937e407cdb9e6df91e4767ccdc010e0276afc075",2012-02-06 15:33:49,external
B011L01主計室第一股,B011L01,"OU=B011L01,OU=B011L00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 18:46:39,f0b2d68ba081ea498370614f27af35c1,"9e881ede41edb1cfbe51573740e8f0698fa747aa8620c58bc5fd25e0d9a248f5",f5367c82101d0483ce7ed0935be48527b07e9a1d7f4c5c73fa970028042df397,2012-02-06 15:33:53,external
B011L02主計室第二股,B011L02,"OU=B011L02,OU=B011L00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 18:46:39,e3763a687ae48f4cb8059e386ee71326,"3991ccf99f32e48122a58400ba7916d7a12a924a9950b21110c6d1c0bc885999","353cc2fcb44725cfb5004859511a85904f849b053c79076b937776f4c7ce67b5",2012-02-06 15:33:54,external
B011L04主計室第四股,B011L04,"OU=B011L04,OU=B011L00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 18:46:40,"6999e660279dff4f8891e12b56315928",ca266088444b3bf5f2b7d3bec0cb6718cacf8d6f31bc86e444dd7a1d74b0d50e,"27b4bdd82fcb4cfcf0ec159420b4f8ed493be79de30d17a5b57d2e69b48caf31",2012-02-06 15:33:56,external
B011L03主計室第三股,B011L03,"OU=B011L03,OU=B011L00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 18:46:40,b8225152adc9cd48ad8dfdd342e2f174,fc253e1118f49b194ba6787c285f72784e3de4285b6a0a08e924ce97df0b646f,db8f52cf1d03348bf309ee038bd9be98ca7b10fcd93c845edb6d7fb230e049d3,2012-02-06 15:33:55,external
B011H08法務科審核員組(停用),B011H08,"OU=B011H08,OU=B011H00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 18:46:31,"15a343b49a5f8a44950c328f358f88cd","88ddacd7ae4527ebd6dcdf78a4c8ec3946bf9ce9c3e3b61c947e8a8f9ca62ac2",d9df31751ce8be9958520b3b9687e5c1dac68e702f1d75c2398708243fe060d3,2012-02-06 15:33:38,external
B011J02企劃科規劃設計股(停用),B011J02,"OU=B011J02,OU=B011J00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 18:46:34,adb69c709dc6fb498cb6623cbe68dfb2,"373bdb69e25599b63847510123c2c1acd25ade0171a18403ab61fe6d492d27e9","236760028b0538b46574ea4ad9d207ee4cdf7abd21b980eb81a1dffb27ff81ba",2012-02-06 15:33:45,external
B011J00企劃科(停用),B011J00,"OU=B011J00,OU=B01,OU=B01ROOT,OU=MOF,DC=entbca,DC=gov,DC=tw",2023-01-13 20:33:08,"410a81b59c79a7439485e656a283a200","5a38c46686cfaa026b3f3fe043fe07f83c5b27d2573a6b27ce524331f0cc6f06","51bdc4e3f857e0691b13b72539255f60a7b5a6dde1d89bc4c908778b684f293d",2012-02-06 15:33:43,external
